FileName,FileSize,ModificationDate,Duration,Resolution,FrameRate,Format,Class
Airplane_Decolando_1.mp4,1675896,2024-07-26 12:42:48,0,unknown,0,unknown,Airplane_Decolando
Airplane_Decolando_2.mp4,1298137,2024-07-26 12:42:48,0,unknown,0,unknown,Airplane_Decolando
Airplane_Decolando_3.mp4,1766525,2024-07-26 12:42:48,0,unknown,0,unknown,Airplane_Decolando
Airplane_Decolando_4.mp4,1793911,2024-07-26 12:42:48,0,unknown,0,unknown,Airplane_Decolando
Airplane_Decolando_5.mp4,1719721,2024-07-26 12:42:48,0,unknown,0,unknown,Airplane_Decolando
Airplane_Decolando_6.mp4,2118217,2024-07-26 12:42:48,0,unknown,0,unknown,Airplane_Decolando
Airplane_Decolando_7.mp4,1685053,2024-07-26 12:42:47,0,unknown,0,unknown,Airplane_Decolando
Airplane_Decolando_8.mp4,1257477,2024-07-26 12:42:47,0,unknown,0,unknown,Airplane_Decolando
Airplane_Decolando_9.mp4,1020573,2024-07-26 12:42:47,0,unknown,0,unknown,Airplane_Decolando
Airplane_Decolando_10.mp4,664991,2024-07-26 12:42:47,0,unknown,0,unknown,Airplane_Decolando
Airplane_Decolando_11.mp4,755978,2024-07-26 12:42:47,0,unknown,0,unknown,Airplane_Decolando
Airplane_Decolando_12.mp4,2574303,2024-07-26 12:42:47,0,unknown,0,unknown,Airplane_Decolando
Airplane_Decolando_13.mp4,2080433,2024-07-26 12:42:47,0,unknown,0,unknown,Airplane_Decolando
Airplane_Decolando_14.mp4,2037539,2024-07-26 12:42:47,0,unknown,0,unknown,Airplane_Decolando
Airplane_Decolando_15.mp4,1640094,2024-07-26 12:42:47,0,unknown,0,unknown,Airplane_Decolando
Airplane_Decolando_16.mp4,1589265,2024-07-26 12:42:47,0,unknown,0,unknown,Airplane_Decolando
Airplane_Decolando_17.mp4,2153676,2024-07-26 12:42:47,0,unknown,0,unknown,Airplane_Decolando
Airplane_Decolando_18.mp4,2027812,2024-07-26 12:42:47,0,unknown,0,unknown,Airplane_Decolando
Airplane_Decolando_19.mp4,1972353,2024-07-26 12:42:47,0,unknown,0,unknown,Airplane_Decolando
Airplane_Decolando_20.mp4,1995296,2024-07-26 12:42:47,0,unknown,0,unknown,Airplane_Decolando
Airplane_Decolando_21.mp4,1562529,2024-07-26 12:42:47,0,unknown,0,unknown,Airplane_Decolando
Airplane_Decolando_22.mp4,1618933,2024-07-26 12:42:47,0,unknown,0,unknown,Airplane_Decolando
Airplane_Decolando_23.mp4,2988692,2024-07-26 12:42:47,0,unknown,0,unknown,Airplane_Decolando
Airplane_Decolando_24.mp4,2762504,2024-07-26 12:42:47,0,unknown,0,unknown,Airplane_Decolando
Airplane_Decolando_25.mp4,2985160,2024-07-26 12:42:47,0,unknown,0,unknown,Airplane_Decolando
Airplane_Decolando_26.mp4,2438367,2024-07-26 12:42:47,0,unknown,0,unknown,Airplane_Decolando
Airplane_Decolando_27.mp4,2023682,2024-07-26 12:42:47,0,unknown,0,unknown,Airplane_Decolando
Airplane_Decolando_28.mp4,1082831,2024-07-26 12:42:47,0,unknown,0,unknown,Airplane_Decolando
Airplane_Não classificados_1.mp4,639691,2024-07-26 12:43:06,0,unknown,0,unknown,Airplane_Não classificados
Airplane_Não classificados_2.mp4,622081,2024-07-26 12:43:06,0,unknown,0,unknown,Airplane_Não classificados
Airplane_Não classificados_3.mp4,1989772,2024-07-26 12:43:06,0,unknown,0,unknown,Airplane_Não classificados
Airplane_Não classificados_4.mp4,1302699,2024-07-26 12:43:05,0,unknown,0,unknown,Airplane_Não classificados
Airplane_Não classificados_5.mp4,1336416,2024-07-26 12:43:05,0,unknown,0,unknown,Airplane_Não classificados
Airplane_Não classificados_6.mp4,1381768,2024-07-26 12:43:05,0,unknown,0,unknown,Airplane_Não classificados
Airplane_Não classificados_7.mp4,1362593,2024-07-26 12:43:05,0,unknown,0,unknown,Airplane_Não classificados
Airplane_Não classificados_8.mp4,2068830,2024-07-26 12:43:05,0,unknown,0,unknown,Airplane_Não classificados
Airplane_Não classificados_9.mp4,2131771,2024-07-26 12:43:04,0,unknown,0,unknown,Airplane_Não classificados
Airplane_Não classificados_10.mp4,2164303,2024-07-26 12:43:04,0,unknown,0,unknown,Airplane_Não classificados
Airplane_Não classificados_11.mp4,2120578,2024-07-26 12:43:04,0,unknown,0,unknown,Airplane_Não classificados
Airplane_Não classificados_12.mp4,2213544,2024-07-26 12:43:04,0,unknown,0,unknown,Airplane_Não classificados
Airplane_Não classificados_13.mp4,2193454,2024-07-26 12:43:04,0,unknown,0,unknown,Airplane_Não classificados
Airplane_Não classificados_14.mp4,2217735,2024-07-26 12:43:04,0,unknown,0,unknown,Airplane_Não classificados
Airplane_Não classificados_15.mp4,2209911,2024-07-26 12:43:04,0,unknown,0,unknown,Airplane_Não classificados
Airplane_Não classificados_16.mp4,1321233,2024-07-26 12:43:05,0,unknown,0,unknown,Airplane_Não classificados
Airplane_Não classificados_17.mp4,1291052,2024-07-26 12:43:05,0,unknown,0,unknown,Airplane_Não classificados
Airplane_Não classificados_18.mp4,1182823,2024-07-26 12:43:05,0,unknown,0,unknown,Airplane_Não classificados
Airplane_Não classificados_19.mp4,1219290,2024-07-26 12:43:05,0,unknown,0,unknown,Airplane_Não classificados
Airplane_Não classificados_20.mp4,1238829,2024-07-26 12:43:05,0,unknown,0,unknown,Airplane_Não classificados
Airplane_Não classificados_21.mp4,1192479,2024-07-26 12:43:05,0,unknown,0,unknown,Airplane_Não classificados
Airplane_Não classificados_22.mp4,1190425,2024-07-26 12:43:05,0,unknown,0,unknown,Airplane_Não classificados
Airplane_Não classificados_23.mp4,1316959,2024-07-26 12:43:05,0,unknown,0,unknown,Airplane_Não classificados
Airplane_Não classificados_24.mp4,1240691,2024-07-26 12:43:05,0,unknown,0,unknown,Airplane_Não classificados
Airplane_Não classificados_25.mp4,1259626,2024-07-26 12:43:05,0,unknown,0,unknown,Airplane_Não classificados
Airplane_Não classificados_26.mp4,2183137,2024-07-26 12:43:05,0,unknown,0,unknown,Airplane_Não classificados
Airplane_Não classificados_27.mp4,2224913,2024-07-26 12:43:05,0,unknown,0,unknown,Airplane_Não classificados
Airplane_Não classificados_28.mp4,2167972,2024-07-26 12:43:05,0,unknown,0,unknown,Airplane_Não classificados
Airplane_Não classificados_29.mp4,2215233,2024-07-26 12:43:05,0,unknown,0,unknown,Airplane_Não classificados
Airplane_Não classificados_30.mp4,2195988,2024-07-26 12:43:05,0,unknown,0,unknown,Airplane_Não classificados
Airplane_Não classificados_31.mp4,2179742,2024-07-26 12:43:05,0,unknown,0,unknown,Airplane_Não classificados
Airplane_Não classificados_32.mp4,2168314,2024-07-26 12:43:05,0,unknown,0,unknown,Airplane_Não classificados
Airplane_Não classificados_33.mp4,2145096,2024-07-26 12:43:05,0,unknown,0,unknown,Airplane_Não classificados
Airplane_Não classificados_34.mp4,2145392,2024-07-26 12:43:05,0,unknown,0,unknown,Airplane_Não classificados
Airplane_Não classificados_35.mp4,2124045,2024-07-26 12:43:05,0,unknown,0,unknown,Airplane_Não classificados
Airplane_Não classificados_36.mp4,2134702,2024-07-26 12:43:05,0,unknown,0,unknown,Airplane_Não classificados
Airplane_Não classificados_37.mp4,2070720,2024-07-26 12:43:04,0,unknown,0,unknown,Airplane_Não classificados
Airplane_Não classificados_38.mp4,1166193,2024-07-26 12:43:04,0,unknown,0,unknown,Airplane_Não classificados
Airplane_Não classificados_39.mp4,1614364,2024-07-26 12:43:04,0,unknown,0,unknown,Airplane_Não classificados
Airplane_Não classificados_40.mp4,1603112,2024-07-26 12:43:04,0,unknown,0,unknown,Airplane_Não classificados
Airplane_Não classificados_41.mp4,1104808,2024-07-26 12:43:04,0,unknown,0,unknown,Airplane_Não classificados
Airplane_Não classificados_42.mp4,928831,2024-07-26 12:43:04,0,unknown,0,unknown,Airplane_Não classificados
Airplane_Não classificados_43.mp4,963812,2024-07-26 12:43:04,0,unknown,0,unknown,Airplane_Não classificados
Airplane_Não classificados_44.mp4,982707,2024-07-26 12:43:04,0,unknown,0,unknown,Airplane_Não classificados
Airplane_Não classificados_45.mp4,948966,2024-07-26 12:43:03,0,unknown,0,unknown,Airplane_Não classificados
Airplane_Não classificados_46.mp4,928072,2024-07-26 12:43:03,0,unknown,0,unknown,Airplane_Não classificados
Airplane_Não classificados_47.mp4,981716,2024-07-26 12:43:04,0,unknown,0,unknown,Airplane_Não classificados
Airplane_Não classificados_48.mp4,941164,2024-07-26 12:43:04,0,unknown,0,unknown,Airplane_Não classificados
Airplane_Não classificados_49.mp4,984467,2024-07-26 12:43:04,0,unknown,0,unknown,Airplane_Não classificados
Airplane_Não classificados_50.mp4,952194,2024-07-26 12:43:04,0,unknown,0,unknown,Airplane_Não classificados
Airplane_Não classificados_51.mp4,954996,2024-07-26 12:43:04,0,unknown,0,unknown,Airplane_Não classificados
Airplane_Não classificados_52.mp4,958952,2024-07-26 12:43:04,0,unknown,0,unknown,Airplane_Não classificados
Airplane_Não classificados_53.mp4,970966,2024-07-26 12:43:04,0,unknown,0,unknown,Airplane_Não classificados
Airplane_Não classificados_54.mp4,955543,2024-07-26 12:43:04,0,unknown,0,unknown,Airplane_Não classificados
Airplane_Não classificados_55.mp4,995141,2024-07-26 12:43:04,0,unknown,0,unknown,Airplane_Não classificados
Airplane_Não classificados_56.mp4,1037468,2024-07-26 12:43:04,0,unknown,0,unknown,Airplane_Não classificados
Airplane_Não classificados_57.mp4,960900,2024-07-26 12:43:04,0,unknown,0,unknown,Airplane_Não classificados
Airplane_Não classificados_58.mp4,1014838,2024-07-26 12:43:03,0,unknown,0,unknown,Airplane_Não classificados
